movieId,movieId,rating,title,user_count,liked,popularity,us_gross,international_gross,imdb
0,1,3.8724696356275303,['Toy Story (1995)'],247,227,91.90283400809717,293190647.0,557286202.0,tt0114709
1,2,3.4018691588785046,['Jumanji (1995)'],107,94,87.85046728971963,153578601.0,401699506.0,tt0113497
2,3,3.1610169491525424,['Grumpier Old Men (1995)'],59,44,74.57627118644068,0.0,0.0,
3,4,2.3846153846153846,['Waiting to Exhale (1995)'],13,8,61.53846153846154,19237114.0,22277835.0,tt0348333
4,5,3.267857142857143,['Father of the Bride Part II (1995)'],56,48,85.71428571428571,0.0,0.0,
5,6,3.8846153846153846,['Heat (1995)'],104,102,98.07692307692307,0.0,0.0,
6,7,3.2830188679245285,['Sabrina (1995)'],53,44,83.01886792452831,81725980.0,133156691.0,tt0114319
7,8,3.8,['Tom and Huck (1995)'],5,4,80.0,0.0,0.0,
8,9,3.15,['Sudden Death (1995)'],20,18,90.0,0.0,0.0,
9,10,3.4508196721311477,['GoldenEye (1995)'],122,114,93.44262295081968,23599429.0,39693164.0,tt0139239
10,11,3.6890243902439024,"['American President, The (1995)']",82,77,93.90243902439023,91761643.0,164837302.0,tt0112346
11,12,2.861111111111111,['Dracula: Dead and Loving It (1995)'],18,13,72.22222222222221,0.0,0.0,
12,13,3.9375,['Balto (1995)'],8,8,100.0,0.0,0.0,
13,14,3.4516129032258065,['Nixon (1995)'],31,28,90.32258064516128,0.0,0.0,
14,15,2.3181818181818183,['Cutthroat Island (1995)'],11,5,45.45454545454545,0.0,0.0,
15,16,3.9488636363636362,['Casino (1995)'],88,82,93.18181818181817,64878801.0,168777252.0,tt0112641
16,17,3.9244186046511627,['Sense and Sensibility (1995)'],86,80,93.02325581395348,65727998.0,206375709.0,tt0114388
17,18,3.2884615384615383,['Four Rooms (1995)'],26,21,80.76923076923077,6575280.0,6575280.0,tt0113101
18,19,2.597826086956522,['Ace Ventura: When Nature Calls (1995)'],92,57,61.95652173913043,0.0,0.0,
19,20,2.5384615384615383,['Money Train (1995)'],13,7,53.84615384615385,0.0,0.0,
20,21,3.536842105263158,['Get Shorty (1995)'],95,84,88.42105263157895,0.0,0.0,
21,22,3.3552631578947367,['Copycat (1995)'],38,34,89.47368421052632,49000312.0,49000312.0,tt0112722
22,23,3.090909090909091,['Assassins (1995)'],22,16,72.72727272727273,46331600.0,127356911.0,tt0112401
23,24,3.0441176470588234,['Powder (1995)'],34,26,76.47058823529412,0.0,0.0,
24,25,3.742574257425743,['Leaving Las Vegas (1995)'],101,90,89.10891089108911,0.0,0.0,
25,26,4.1,['Othello (1995)'],5,5,100.0,0.0,0.0,
26,27,3.142857142857143,['Now and Then (1995)'],7,6,85.71428571428571,0.0,0.0,
27,28,4.083333333333333,['Persuasion (1995)'],18,17,94.44444444444444,0.0,0.0,
28,29,4.025,"['City of Lost Children, The (Cit\x82 des enfants perdus, La) (1995)']",40,39,97.5,0.0,0.0,
29,30,4.05,['Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)'],10,9,90.0,0.0,0.0,
30,31,3.1785714285714284,['Dangerous Minds (1995)'],42,36,85.71428571428571,0.0,0.0,
31,32,3.923469387755102,['Twelve Monkeys (a.k.a. 12 Monkeys) (1995)'],196,188,95.91836734693877,87356689.0,258121354.0,tt0114746
32,34,3.6013513513513513,['Babe (1995)'],148,128,86.48648648648648,0.0,0.0,
33,35,3.5454545454545454,['Carrington (1995)'],11,10,90.9090909090909,0.0,0.0,
34,36,3.9375,['Dead Man Walking (1995)'],104,101,97.11538461538461,0.0,0.0,
35,37,2.0,['Across the Sea of Time (1995)'],2,1,50.0,0.0,0.0,
36,38,2.0,['It Takes Two (1995)'],2,1,50.0,0.0,0.0,
37,39,3.55,['Clueless (1995)'],120,108,90.0,86526587.0,86526587.0,tt0112697
38,40,3.9166666666666665,"['Cry, the Beloved Country (1995)']",6,6,100.0,32659228.0,32659228.0,tt0120603
39,41,4.021739130434782,['Richard III (1995)'],23,21,91.30434782608695,0.0,0.0,
40,42,2.3333333333333335,['Dead Presidents (1995)'],9,4,44.44444444444444,0.0,0.0,
41,43,3.625,['Restoration (1995)'],12,11,91.66666666666666,0.0,0.0,
42,44,2.6973684210526314,['Mortal Kombat (1995)'],38,26,68.42105263157895,107676871.0,186714768.0,tt0113855
43,45,3.5232558139534884,['To Die For (1995)'],43,40,93.02325581395348,0.0,0.0,
44,46,3.1666666666666665,['How to Make an American Quilt (1995)'],12,10,83.33333333333334,0.0,0.0,
45,47,4.034825870646766,['Seven (a.k.a. Se7en) (1995)'],201,194,96.51741293532339,153070026.0,501631742.0,tt0114369
46,48,2.9262295081967213,['Pocahontas (1995)'],61,47,77.04918032786885,216444248.0,530639350.0,tt0114148
47,49,4.0,['When Night Is Falling (1995)'],2,2,100.0,0.0,0.0,
48,50,4.370646766169155,"['Usual Suspects, The (1995)']",201,198,98.50746268656717,35684110.0,52665468.0,tt0114814
49,52,3.6372549019607843,['Mighty Aphrodite (1995)'],51,47,92.15686274509804,0.0,0.0,
50,53,5.0,['Lamerica (1994)'],1,1,100.0,0.0,0.0,
51,54,3.6666666666666665,"['Big Green, The (1995)']",3,3,100.0,0.0,0.0,
52,55,3.3333333333333335,['Georgia (1995)'],6,5,83.33333333333334,0.0,0.0,
53,57,3.142857142857143,['Home for the Holidays (1995)'],14,11,78.57142857142857,26706076.0,33815484.0,tt0113321
54,58,4.0,"['Postman, The (Postino, Il) (1994)']",45,43,95.55555555555556,0.0,0.0,
55,59,4.0,"['Confessional, The (Confessionnal, Le) (1995)']",2,2,100.0,0.0,0.0,
56,60,2.828125,"['Indian in the Cupboard, The (1995)']",32,21,65.625,0.0,0.0,
57,61,3.5714285714285716,['Eye for an Eye (1996)'],7,7,100.0,39791578.0,39791578.0,tt0116260
58,62,3.689655172413793,"[""Mr. Holland's Opus (1995)""]",87,83,95.40229885057471,0.0,0.0,
59,63,2.8333333333333335,"[""Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)""]",6,4,66.66666666666666,0.0,0.0,
60,64,2.4,['Two if by Sea (1996)'],10,5,50.0,0.0,0.0,
61,65,2.025,['Bio-Dome (1996)'],20,7,35.0,0.0,0.0,
62,66,2.0,['Lawnmower Man 2: Beyond Cyberspace (1996)'],5,1,20.0,0.0,0.0,
63,68,3.5,['French Twist (Gazon maudit) (1995)'],8,7,87.5,0.0,0.0,
64,69,3.8181818181818183,['Friday (1995)'],22,22,100.0,33525714.0,72155308.0,tt0120679
65,70,3.0208333333333335,['From Dusk Till Dawn (1996)'],48,34,70.83333333333334,38211750.0,38211750.0,tt0116367
66,71,2.4285714285714284,['Fair Game (1995)'],7,3,42.857142857142854,12281992.0,27878177.0,tt0977855
67,72,3.1666666666666665,['Kicking and Screaming (1995)'],6,5,83.33333333333334,153041290.0,257002834.0,tt0117571
68,73,4.115384615384615,"['Mis\x82rables, Les (1995)']",13,12,92.3076923076923,0.0,0.0,
69,74,3.026315789473684,['Bed of Roses (1996)'],19,13,68.42105263157895,0.0,0.0,
70,76,3.3333333333333335,['Screamers (1995)'],15,14,93.33333333333333,153041290.0,257002834.0,tt0117571
71,77,4.0,['Nico Icon (1995)'],2,2,100.0,0.0,0.0,
72,78,3.2,"['Crossing Guard, The (1995)']",10,7,70.0,0.0,0.0,
73,79,2.9615384615384617,"['Juror, The (1996)']",26,18,69.23076923076923,0.0,0.0,
74,80,4.625,"['White Balloon, The (Badkonake sefid) (1995)']",4,4,100.0,0.0,0.0,
75,81,3.25,"[""Things to Do in Denver When You're Dead (1995)""]",18,16,88.88888888888889,0.0,0.0,
76,82,3.8,"[""Antonia's Line (Antonia) (1995)""]",10,9,90.0,0.0,0.0,
77,83,3.0,['Once Upon a Time... When We Were Colored (1995)'],3,3,100.0,0.0,0.0,
78,84,4.0,['Last Summer in the Hamptons (1995)'],1,1,100.0,0.0,0.0,
79,85,4.0625,['Angels and Insects (1995)'],16,16,100.0,0.0,0.0,
80,86,3.764705882352941,['White Squall (1996)'],17,16,94.11764705882352,0.0,0.0,
81,87,1.6666666666666667,['Dunston Checks In (1996)'],3,1,33.33333333333333,0.0,0.0,
82,88,2.891304347826087,['Black Sheep (1996)'],23,18,78.26086956521739,0.0,0.0,
83,89,3.4411764705882355,['Nick of Time (1995)'],17,16,94.11764705882352,0.0,0.0,
84,92,3.5416666666666665,['Mary Reilly (1996)'],12,11,91.66666666666666,0.0,0.0,
85,93,2.227272727272727,['Vampire in Brooklyn (1995)'],11,4,36.36363636363637,0.0,0.0,
86,94,3.5681818181818183,['Beautiful Girls (1996)'],22,21,95.45454545454545,0.0,0.0,
87,95,3.1774193548387095,['Broken Arrow (1996)'],93,77,82.79569892473118,104920957.0,220318272.0,tt0115759
88,96,1.0,['In the Bleak Midwinter (1995)'],1,0,0.0,0.0,0.0,
89,97,3.875,"['Hate (Haine, La) (1995)']",8,8,100.0,0.0,0.0,
90,98,3.0,['Shopping (1994)'],1,1,100.0,4603452.0,6686214.0,tt0138704
91,99,2.75,['Heidi Fleiss: Hollywood Madam (1995)'],4,2,50.0,0.0,0.0,
92,100,3.4285714285714284,['City Hall (1996)'],21,18,85.71428571428571,0.0,0.0,
93,101,3.8823529411764706,['Bottle Rocket (1996)'],17,16,94.11764705882352,0.0,0.0,
94,102,2.590909090909091,['Mr. Wrong (1996)'],11,8,72.72727272727273,0.0,0.0,
95,103,4.0,['Unforgettable (1996)'],4,4,100.0,0.0,0.0,
96,104,3.2925531914893615,['Happy Gilmore (1996)'],94,76,80.85106382978722,0.0,0.0,
97,105,3.1145833333333335,"['Bridges of Madison County, The (1995)']",48,37,77.08333333333334,109333135.0,268326198.0,tt0112579
98,107,3.462962962962963,['Muppet Treasure Island (1996)'],27,22,81.48148148148148,0.0,0.0,
99,108,4.0,['Catwalk (1996)'],1,1,100.0,0.0,0.0,
100,110,3.9451754385964914,['Braveheart (1995)'],228,213,93.42105263157895,115492633.0,319514907.0,tt0112573
101,111,4.22457627118644,['Taxi Driver (1976)'],118,114,96.61016949152543,115645570.0,115645570.0,tt0075314
102,112,3.295918367346939,['Rumble in the Bronx (Hont faan kui) (1995)'],49,44,89.79591836734694,0.0,0.0,
