
crab  sat  y  weight  width  color  spine         width_C
0       1    8  1   3.050   28.3      2      3  [28.25, 29.25)
1       2    0  0   1.550   22.5      3      3    [0.0, 23.25)
2       3    9  1   2.300   26.0      1      1  [25.25, 26.25)
3       4    0  0   2.100   24.8      3      3  [24.25, 25.25)
4       5    4  1   2.600   26.0      3      3  [25.25, 26.25)
5       6    0  0   2.100   23.8      2      3  [23.25, 24.25)
6       7    0  0   2.350   26.5      1      1  [26.25, 27.25)
7       8    0  0   1.900   24.7      3      2  [24.25, 25.25)
8       9    0  0   1.950   23.7      2      1  [23.25, 24.25)
9      10    0  0   2.150   25.6      3      3  [25.25, 26.25)
10     11    0  0   2.150   24.3      3      3  [24.25, 25.25)
11     12    0  0   2.650   25.8      2      3  [25.25, 26.25)
12     13   11  1   3.050   28.2      2      3  [27.25, 28.25)
13     14    0  0   1.850   21.0      4      2    [0.0, 23.25)
14     15   14  1   2.300   26.0      2      1  [25.25, 26.25)
15     16    8  1   2.950   27.1      1      1  [26.25, 27.25)
16     17    1  1   2.000   25.2      2      3  [24.25, 25.25)
17     18    1  1   3.000   29.0      2      3  [28.25, 29.25)
18     19    0  0   2.200   24.7      4      3  [24.25, 25.25)
19     20    5  1   2.700   27.4      2      3  [27.25, 28.25)
20     21    4  1   1.950   23.2      2      2    [0.0, 23.25)
21     22    3  1   2.300   25.0      1      2  [24.25, 25.25)
22     23    1  1   1.600   22.5      2      1    [0.0, 23.25)
23     24    2  1   2.600   26.7      3      3  [26.25, 27.25)
24     25    3  1   2.000   25.8      4      3  [25.25, 26.25)
25     26    0  0   1.300   26.2      4      3  [25.25, 26.25)
26     27    3  1   3.150   28.7      2      3  [28.25, 29.25)
27     28    5  1   2.700   26.8      2      1  [26.25, 27.25)
28     29    0  0   2.600   27.5      4      3  [27.25, 28.25)
29     30    0  0   2.100   24.9      2      3  [24.25, 25.25)
143   144    0  0   2.000   24.3      2      1  [24.25, 25.25)
144   145    0  0   2.400   25.8      2      3  [25.25, 26.25)
145   146    8  1   2.100   25.0      4      3  [24.25, 25.25)
146   147    4  1   3.725   31.7      2      1   [29.25, 34.5)
147   148    4  1   3.025   29.5      2      3   [29.25, 34.5)
148   149   10  1   1.900   24.0      3      3  [23.25, 24.25)
149   150    9  1   3.000   30.0      2      3   [29.25, 34.5)
150   151    4  1   2.850   27.6      2      3  [27.25, 28.25)
151   152    0  0   2.300   26.2      2      3  [25.25, 26.25)
152   153    0  0   2.000   23.1      2      1    [0.0, 23.25)
153   154    0  0   1.600   22.9      2      1    [0.0, 23.25)
154   155    0  0   1.900   24.5      4      3  [24.25, 25.25)
155   156    4  1   1.950   24.7      2      3  [24.25, 25.25)
156   157    0  0   3.200   28.3      2      3  [28.25, 29.25)
157   158    2  1   1.850   23.9      2      3  [23.25, 24.25)
158   159    0  0   1.800   23.8      3      3  [23.25, 24.25)
159   160    4  1   3.500   29.8      3      2   [29.25, 34.5)
160   161    4  1   2.350   26.5      2      3  [26.25, 27.25)
161   162    3  1   2.275   26.0      2      3  [25.25, 26.25)
162   163    8  1   3.050   28.2      2      3  [27.25, 28.25)
163   164    0  0   2.150   25.7      4      3  [25.25, 26.25)
164   165    7  1   2.750   26.5      2      3  [26.25, 27.25)
165   166    0  0   2.200   25.8      2      3  [25.25, 26.25)
166   167    0  0   1.800   24.1      3      3  [23.25, 24.25)
167   168    2  1   2.175   26.2      3      3  [25.25, 26.25)
168   169    3  1   2.750   26.1      3      3  [25.25, 26.25)
169   170    4  1   3.275   29.0      3      3  [28.25, 29.25)
170   171    0  0   2.625   28.0      1      1  [27.25, 28.25)
171   172    0  0   2.625   27.0      4      3  [26.25, 27.25)
172   173    0  0   2.000   24.5      2      2  [24.25, 25.25)
